Date,Discharge (m3/s)
2002-11-07,6050.9
2002-11-08,5863.68
2002-11-09,5697.2
2002-11-10,5533.63
2002-11-11,5341.38
2002-11-12,5081.44
2002-11-13,5707.05
2002-11-14,5823.48
2002-11-15,5560.4
2002-11-16,5379.54
2002-11-17,5289.31
2002-11-18,5211.51
2002-11-19,5191.12
2002-11-20,5153.5
2002-11-21,5583.26
2002-11-22,5406.74
2002-11-23,5293.53
2002-11-24,5167.71
2002-11-25,4999.54
2002-11-26,4747.12
2002-11-27,4654.06
2003-03-06,3278.51
2003-03-07,3282.6
2003-03-08,3146.27
2003-03-09,3103.38
2003-03-10,2944.43
2003-03-11,2831.41
2003-03-12,2767.75
2003-03-13,2545.81
2003-03-14,2575.29
2003-03-15,2688.27
2003-03-16,2944.48
2003-03-17,3108.52
2003-03-18,3241.1
2003-03-19,3472.8
2003-03-20,3607.05
2003-03-21,3636.82
2003-03-22,3624.04
2003-03-23,3578.39
2003-03-24,3532.08
2003-03-25,3296.01
2003-03-26,3299.23
2003-03-27,3002.8
2003-03-28,3040.33
2003-03-29,2957.63
2003-03-30,3011.07
2003-03-31,3284.59
2003-04-01,3723.27
2003-04-02,3884.61
2003-04-03,3904.3
2003-04-04,4024.97
2003-04-05,3978.86
2003-04-06,3828.24
2003-04-07,3683.38
2003-04-08,3484.25
2003-04-09,3420.67
2003-04-10,3242.19
2003-04-11,3096.21
2003-04-12,3180.7
2003-04-13,3383.91
2003-04-14,3538.36
2003-04-15,3663.51
2003-04-16,3814.78
2003-04-17,4132.74
2003-04-18,4432.28
2003-04-19,4614.75
2003-04-20,4579.49
2003-04-21,4614.72
2003-04-22,4523.04
2003-04-23,4235.67
2003-04-24,4026.46
2003-04-25,3988.31
2003-04-26,3821.81
2003-04-27,3801.8
2003-04-28,3905.88
2003-04-29,3974.16
2003-04-30,4025.55
2003-05-01,4069.96
2003-05-02,4206.85
2003-05-03,4606.97
2003-05-04,4752.78
2003-05-05,4894.54
2003-05-06,4922.55
2003-05-07,4780.33
2003-05-08,4618.24
2003-05-09,4432.88
2003-05-10,4230.11
2003-05-11,4184.54
2003-05-12,4213.2
2003-05-13,4360.93
2003-05-14,4682.68
2003-05-15,5003.63
2003-05-16,5246.95
2003-05-17,5405.75
2003-05-18,5504.59
2003-05-19,5396.06
2003-05-20,5221.68
2003-05-21,5249.38
2003-05-22,5071.1
2003-05-23,5086.46
2003-05-24,4888.3
2003-05-25,4891.12
2003-05-26,4909.74
2003-05-27,4975.44
2003-05-28,5044.13
2003-05-29,5118.9
2003-05-30,5134.2
2003-05-31,5102.59
2003-06-01,5074.15
2003-06-02,5073.8
2003-06-03,5104.78
2003-06-04,5007.33
2003-06-05,5493.6
2003-06-06,5440.69
2003-06-07,5674.72
2003-06-08,5585.14
2003-06-09,5424.17
2003-06-10,5420.71
2003-06-11,5426.54
2003-06-12,6438.81
2003-06-13,6391.93
2003-06-14,6387.17
2003-06-15,6376.36
2003-06-16,6350.47
2003-06-17,6288.32
2003-06-18,6271.44
2003-06-19,7414.73
2003-06-20,7614.92
2003-06-21,7776.38
2003-06-22,8018.63
2003-06-23,8152.67
2003-06-24,8225.64
2003-06-25,8232.04
2003-06-26,8234.14
2003-06-27,8268.71
2003-06-28,8504.96
2003-06-29,8806.04
2003-06-30,9000.05
2003-07-01,9284.17
2003-07-02,9496.34
2003-07-03,9865.79
2003-07-04,10085.09
2003-07-05,10292.46
2003-07-06,10440.77
2003-07-07,10555.43
2003-07-08,10647.72
